id,input_type,audio_path,audio_hash,mfa_raw_output,rawgat_raw_output,speaker_result,spoof_result,risk_score,final_label,latency_ms,created_at
1,upload,/home/xujiwu/comb_model/data/uploads/1774541905470_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,known,bonafide,0.1,pass,9139,2026-03-27T00:18:34
2,record,/home/xujiwu/comb_model/data/uploads/1774541943204_tmpnjnvol5c.wav,0548b483b315b3e9becc0f0e23f5a3206a6c2f951923df51146302d1fed7acdd,匹配人员: xujiwu,判断结果: 真实,known,bonafide,0.1,pass,6378,2026-03-27T00:19:09
3,record,/home/xujiwu/comb_model/data/uploads/1774541994145_tmpnkib7bez.wav,92709b497aa6a5025c044176e257c70ea7f637ce6c9df464951a3fb84ecbef94,匹配人员: xujiwu,判断结果: 虚假,known,spoof,0.9,fraud_risk,6340,2026-03-27T00:20:00
4,upload,/home/xujiwu/comb_model/data/uploads/1774542459350_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,known,bonafide,0.1,pass,6311,2026-03-27T00:27:45
5,upload,/home/xujiwu/comb_model/data/uploads/1774543278441_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,6393,2026-03-27T00:41:24
6,record,/home/xujiwu/comb_model/data/uploads/1774543451886_tmpt4mn0v7q.wav,7b71ccd0d4c8c108b6168736589ad2c6f08bea22864e4c9de381028a66d99704,匹配人员: 豆包,判断结果: 真实,豆包,bonafide,0.1,pass,6527,2026-03-27T00:44:18
7,upload,/home/xujiwu/comb_model/data/uploads/1774544283671_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.44544878602027893, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6191,2026-03-27T00:58:09
8,upload,/home/xujiwu/comb_model/data/uploads/1774544737544_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.44544878602027893, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6191,2026-03-27T01:05:43
9,upload,/home/xujiwu/comb_model/data/uploads/1774593223798_SSB03540001_gl.wav,ea1db941cbd5ff14eb82ce8657b5835d86987ecc83aa6d261c381d9be732d4c3,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""豆包"", ""similarity"": 1.0000003576278687, ""threshold"": 0.27}
匹配人员: 豆包","{""ok"": true, ""label"": ""spoof"", ""label_zh"": ""虚假"", ""prediction"": 0}
判断结果: 虚假",豆包,spoof,0.9,fraud_risk,9682,2026-03-27T14:33:53
10,record,/home/xujiwu/comb_model/data/uploads/1774593253397_tmprit64wuv.wav,7197ac39f377ff08eb5e04b1178e185f0d46d36eadc310bce6c3342829255c88,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""gl"", ""similarity"": 0.6141316294670105, ""threshold"": 0.27}
匹配人员: gl","{""ok"": true, ""label"": ""spoof"", ""label_zh"": ""虚假"", ""prediction"": 0}
判断结果: 虚假",gl,spoof,0.9,fraud_risk,6414,2026-03-27T14:34:19
11,record,/home/xujiwu/comb_model/data/uploads/1774593311413_tmp0lg7dohq.wav,bdcc566a696896917f1e13312a1150157d7d9375813eafe02d3beb510001f1bb,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.7586637735366821, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6486,2026-03-27T14:35:17
12,upload,/home/xujiwu/comb_model/data/uploads/1775464252729_A1.wav,04a5c97c3db9ce6acca9c0324ca54a7ef450badf1a3291c8f1d71ba24cdd6b65,"{""ok"": true, ""mode"": ""verify"", ""matched"": false, ""speaker_name"": ""unknown"", ""similarity"": 0.19691282510757446, ""threshold"": 0.27}
该人员不在库中","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",unknown,bonafide,0.7,identity_unknown,9543,2026-04-06T16:31:02
13,upload,/home/xujiwu/comb_model/data/uploads/1775464287430_A3.wav,0bdfdde8ce286a8055dc0779769a1c59d718c1348e756e32972b9cf1e8f3f86f,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.28701159358024597, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6024,2026-04-06T16:31:33
14,upload,/home/xujiwu/comb_model/data/uploads/1775464313914_A4.wav,bacd27e9010de080778671b3afdfc49c768926e1483ee6d9c4f0bd499c621c4d,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.2925758957862854, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6064,2026-04-06T16:31:59
15,upload,/home/xujiwu/comb_model/data/uploads/1775464334849_A3.wav,0bdfdde8ce286a8055dc0779769a1c59d718c1348e756e32972b9cf1e8f3f86f,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.28701159358024597, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,5084,2026-04-06T16:32:19
16,upload,/home/xujiwu/comb_model/data/uploads/1775465453723_A3.wav,0bdfdde8ce286a8055dc0779769a1c59d718c1348e756e32972b9cf1e8f3f86f,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.28701159358024597, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,6867,2026-04-06T16:51:00
17,upload,/home/xujiwu/comb_model/data/uploads/1775467468113_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.44544878602027893, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,5039,2026-04-06T17:24:33
18,record,/home/xujiwu/comb_model/data/uploads/1775467493064_recording.wav,88b3c2c57492ea4e380ae0ba305355f9bc4121fb58369c6a8814eebf76cb65e9,"{""ok"": true, ""mode"": ""verify"", ""matched"": true, ""speaker_name"": ""xujiwu"", ""similarity"": 0.5767533183097839, ""threshold"": 0.27}
匹配人员: xujiwu","{""ok"": true, ""label"": ""bonafide"", ""label_zh"": ""真实"", ""prediction"": 1}
判断结果: 真实",xujiwu,bonafide,0.1,pass,7432,2026-04-06T17:25:00
19,upload,/home/xujiwu/comb_model/data/uploads/1775468861428_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,337,2026-04-06T17:47:41
20,record,/home/xujiwu/comb_model/data/uploads/1775468871219_recording.wav,9f36d245776c697a0251a5a8bd4d002779ea954a5f17e6a7281e6ef3546ec348,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,761,2026-04-06T17:47:51
21,record,/home/xujiwu/comb_model/data/uploads/1775469110450_recording.wav,42e6a7e06c3616eeec265e2bdb023bb8b4b4a1081f3d93000fb23418c348a7fa,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,168,2026-04-06T17:51:50
22,upload,/home/xujiwu/comb_model/data/uploads/1775469585486_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,52,2026-04-06T17:59:45
23,upload,/home/xujiwu/comb_model/data/uploads/1775503218512_屏幕录像 2026-01-01 12:25:25.mp4,345ef2be3c27a88e2780c92ae21bec62332f6b50d82f2f17c55bf01458ec4c67,"Error: CUDA out of memory. Tried to allocate 2.29 GiB. GPU 0 has a total capacty of 3.80 GiB of which 1.04 GiB is free. Including non-PyTorch memory, this process has 2.75 GiB memory in use. Of the allocated memory 2.56 GiB is allocated by PyTorch, and 55.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF",判断结果: 虚假,unknown,spoof,0.9,fraud_risk,1876,2026-04-07T03:20:20
24,upload,/home/xujiwu/comb_model/data/uploads/1775503251960_屏幕录像 2026-01-01 12:25:25.mp4,345ef2be3c27a88e2780c92ae21bec62332f6b50d82f2f17c55bf01458ec4c67,"Error: CUDA out of memory. Tried to allocate 2.29 GiB. GPU 0 has a total capacty of 3.80 GiB of which 1.04 GiB is free. Including non-PyTorch memory, this process has 2.75 GiB memory in use. Of the allocated memory 2.56 GiB is allocated by PyTorch, and 59.21 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF",判断结果: 虚假,unknown,spoof,0.9,fraud_risk,603,2026-04-07T03:20:52
25,upload,/home/xujiwu/comb_model/data/uploads/1775503274365_A1.wav,04a5c97c3db9ce6acca9c0324ca54a7ef450badf1a3291c8f1d71ba24cdd6b65,该人员不在库中,判断结果: 真实,unknown,bonafide,0.7,identity_unknown,234,2026-04-07T03:21:14
26,upload,/home/xujiwu/comb_model/data/uploads/1775503538700_rec1.wav,b6c058f9b905c7915c955bec47adee0f598e43675b9a571a408e7e6088f77eb9,匹配人员: xujiwu,判断结果: 真实,xujiwu,bonafide,0.1,pass,52,2026-04-07T03:25:38
27,upload,/home/xujiwu/comb_model/data/uploads/1775503642204_A1.wav,04a5c97c3db9ce6acca9c0324ca54a7ef450badf1a3291c8f1d71ba24cdd6b65,该人员不在库中,判断结果: 真实,unknown,bonafide,0.7,identity_unknown,57,2026-04-07T03:27:22
28,upload,/home/xujiwu/comb_model/data/uploads/1775503775162_SSB07800001_fasthifigan.wav,ef0d0414f5fbbfcbe85a5932f44c99957cf7ec58f569833fcca07e16661df09e,匹配人员: unknown,判断结果: 虚假,unknown,spoof,0.9,fraud_risk,58,2026-04-07T03:29:35
